Batteries Included            ,Greg Barkhurst                                                                                           
Baloche                       ,Dominique Baron                                                                                          
Bad Boys Vol. 3               ,Paul Barresi                                                                                             
Baianinha                     ,Luiz de Barros                                                                                           
Babies for Sale               ,Charles Barton                                                                                           
Baron Von Go-Go               ,Art Bartsch                                                                                              
Banani                        ,Jahnu Barua                                                                                              
Baruar Sansar                 ,Nip Barua                                                                                                
Back by Midnight              ,Harry Basil                                                                                              
Ballistic                     ,Kim Bass                                                                                                 
Banat                         ,Branislav Bastac                                                                                         
Bas hocu                      ,Branislav Bastac                                                                                         
Bawina                        ,Minza Bataba                                                                                             
