Junior Champions              ,Pierre Blondy                                                                                            
Juarez                        ,Jeffrey Bloom                                                                                            
Juliet Is Bleeding            ,George Bloomfield                                                                                        
Junior Sells the Farm         ,George Bloomfield                                                                                        
Juke Box Fury                 ,Richard Boden                                                                                            
Jury                          ,Richard Boden                                                                                            
Judge Fayard Called the Sherif,Yves Boisset                                                                                             
Julie the Redhead             ,Claude Boissol                                                                                           
Jump the Shark                ,Cliff Bole                                                                                               
Juan Topocho                  ,César Bolívar                                                                                          
Judgement                     ,Phil Bondelli                                                                                            
Jump                          ,Peter Bonerz                                                                                             
Judd Apatow & Lena Dunham     ,Michael Bonfiglio                                                                                        
Julie Delpy und Bela B.       ,Mathilde Bonnefoy                                                                                        
