His Reformation               ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Indian Trailer            ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Judgment                      ,Gilbert M. 'Broncho Billy' Anderson                                                                      
A Maid of the Mountains       ,Gilbert M. 'Broncho Billy' Anderson                                                                      
A Mexican's Gratitude         ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Midnight Disturbance          ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Ranchman's Rival          ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Road Agents               ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Shanghaied                    ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Spanish Girl              ,Gilbert M. 'Broncho Billy' Anderson                                                                      
A Tale of the West            ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Ten Nights in a Barroom       ,Gilbert M. 'Broncho Billy' Anderson                                                                      
De Garraf a Barcelona         ,Fructuós Gelabert                                                                                     
Fabricación del corcho en S,Fructuós Gelabert                                                                                     
Fiestas de Santa Lucía - Be,Fructuós Gelabert                                                                                     
Fiestas en La Garriga         ,Fructuós Gelabert                                                                                     
Guzmán el Bueno            ,Fructuós Gelabert                                                                                     
Industria del corcho          ,Fructuós Gelabert                                                                                     
Por un ratón               ,Fructuós Gelabert                                                                                     
Primera carrera internacional ,Fructuós Gelabert                                                                                     
A Cultura do Cacau            ,Ernesto de Albuquerque                                                                                   
What Drink Did                ,D.W. Griffith                                                                                            
What's Your Hurry?            ,D.W. Griffith                                                                                            
The Winning Coat              ,D.W. Griffith                                                                                            
With Her Card                 ,D.W. Griffith                                                                                            
The Wooden Leg                ,D.W. Griffith                                                                                            
A Wreath in Time              ,D.W. Griffith                                                                                            
An Arcadian Maid              ,D.W. Griffith                                                                                            
As It Is in Life              ,D.W. Griffith                                                                                            
As the Bells Rang Out!        ,D.W. Griffith                                                                                            
The Banker's Daughters        ,D.W. Griffith                                                                                            
The Broken Doll               ,D.W. Griffith                                                                                            
The Call to Arms              ,D.W. Griffith                                                                                            
The Call                      ,D.W. Griffith                                                                                            
A Child of the Ghetto         ,D.W. Griffith                                                                                            
A Child's Faith               ,D.W. Griffith                                                                                            
A Child's Impulse             ,D.W. Griffith                                                                                            
A Child's Stratagem           ,D.W. Griffith                                                                                            
The Cloister's Touch          ,D.W. Griffith                                                                                            
The Converts                  ,D.W. Griffith                                                                                            
The Course of True Love       ,D.W. Griffith                                                                                            
The Dancing Girl of Butte     ,D.W. Griffith                                                                                            
The Duke's Plan               ,D.W. Griffith                                                                                            
The Englishman and the Girl   ,D.W. Griffith                                                                                            
Examination Day at School     ,D.W. Griffith                                                                                            
The Face at the Window        ,D.W. Griffith                                                                                            
Faithful                      ,D.W. Griffith                                                                                            
The Final Settlement          ,D.W. Griffith                                                                                            
A Flash of Light              ,D.W. Griffith                                                                                            
The Fugitive                  ,D.W. Griffith                                                                                            
Gold Is Not All               ,D.W. Griffith                                                                                            
The Gold Seekers              ,D.W. Griffith                                                                                            
The Golden Supper             ,D.W. Griffith                                                                                            
Her Father's Pride            ,D.W. Griffith                                                                                            
Her Terrible Ordeal           ,D.W. Griffith                                                                                            
His Last Burglary             ,D.W. Griffith                                                                                            
His Last Dollar               ,D.W. Griffith                                                                                            
His Sister-in-Law             ,D.W. Griffith                                                                                            
The Honor of His Family       ,D.W. Griffith                                                                                            
The House with Closed Shutters,D.W. Griffith                                                                                            
The Iconoclast                ,D.W. Griffith                                                                                            
The Impalement                ,D.W. Griffith                                                                                            
In Life's Cycle               ,D.W. Griffith                                                                                            
In Old California             ,D.W. Griffith                                                                                            
In the Border States          ,D.W. Griffith                                                                                            
In the Season of Buds         ,D.W. Griffith                                                                                            
The Last Deal                 ,D.W. Griffith                                                                                            
The Lesson                    ,D.W. Griffith                                                                                            
Little Angels of Luck         ,D.W. Griffith                                                                                            
Love Among the Roses          ,D.W. Griffith                                                                                            
The Man                       ,D.W. Griffith                                                                                            
The Marked Time-Table         ,D.W. Griffith                                                                                            
The Message of the Violin     ,D.W. Griffith                                                                                            
A Midnight Cupid              ,D.W. Griffith                                                                                            
The Modern Prodigal           ,D.W. Griffith                                                                                            
A Mohawk's Way                ,D.W. Griffith                                                                                            
Muggsy's First Sweetheart     ,D.W. Griffith                                                                                            
The Newlyweds                 ,D.W. Griffith                                                                                            
The Oath and the Man          ,D.W. Griffith                                                                                            
On the Reef                   ,D.W. Griffith                                                                                            
One Night, and Then --        ,D.W. Griffith                                                                                            
Away Out West                 ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Bad Man's Christmas Gift  ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Bad Man's Last Deed       ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Bandit's Wife             ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Bearded Bandit            ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Broncho Billy's Redemption    ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Circle C Ranch's Wedding Prese,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Cowboy and the Squaw      ,Gilbert M. 'Broncho Billy' Anderson                                                                      
A Cowboy's Mother-in-Law      ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Cowboy's Sweetheart       ,Gilbert M. 'Broncho Billy' Anderson                                                                      
A Cowboy's Vindication        ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Cowpuncher's Ward         ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Deputy's Love Affair      ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Desperado                 ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Dumb Half Breed's Defense ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Fence on 'Bar Z' Ranch    ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Flower of the Ranch       ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Forest Ranger             ,Gilbert M. 'Broncho Billy' Anderson                                                                      
A Gambler of the West         ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Girl and the Fugitive     ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Girl on Triple X          ,Gilbert M. 'Broncho Billy' Anderson                                                                      
An Indian Girl's Love         ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Little Prospector         ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Marked Trail              ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Mexican's Faith           ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Millionaire and the Ranch ,Gilbert M. 'Broncho Billy' Anderson                                                                      
The Mistaken Bandit           ,Gilbert M. 'Broncho Billy' Anderson                                                                      
Un corpus de sangre           ,Fructuós Gelabert                                                                                     
Excursión al Gombreny      ,Fructuós Gelabert                                                                                     
Fabricación del cemento Asl,Fructuós Gelabert                                                                                     
Inundaciones en Lérida     ,Fructuós Gelabert                                                                                     
Montblanc la serra            ,Fructuós Gelabert                                                                                     
Over Silent Paths             ,D.W. Griffith                                                                                            
